Year,hole_area,Dobson Units,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,share_global_coal_co2,share_global_oil_co2,share_global_gas_co2,share_global_flaring_co2,share_global_cement_co2,cumulative_coal_co2,cumulative_oil_co2,cumulative_gas_co2,cumulative_flaring_co2,cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_oil_co2,share_global_cumulative_gas_co2,share_global_cumulative_flaring_co2,share_global_cumulative_cement_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
1989,18.7,127.0,85979.30500000002,1052.3190000000006,1087.3540000000005,0.0,0.0,0.0,1097.7969999999998,0.0,384.8789999999998,3088649.1369999996,395.396,81.897,0.0,26.40499999999999,1966.1900000000003,34132.24800000001,582.613,14805.145999999999,33932.05800000001,0.0,22.768,271.16099999999994,17.438000000000002,225.46199999999988,560.959,0.0,384.2730000000001,374.12999999999994,412.09499999999997,384.678,395.4089999999999,1760635.5110000006,966472.0259999996,283554.532,28860.130999999994,49126.954999999965,411.584,372.8819999999999,381.31,364.42,412.5999999999998,0.0,0.0,0.0,0.0,0.0,0.0,185609.674,3279812.523,312.748,15251870928.0,82932166110208.0
1990,19.2,124.2,88010.112,918.9739999999991,2030.932000000002,19315.254,623.7150000000004,2506.0330000000004,1103.18,724.62,385.29499999999996,3176101.335999999,395.11200000000014,79.19200000000004,53.68300000000001,30.761999999999993,1962.9779999999994,33185.24000000001,955.6690000000001,15891.200999999997,34779.49700000001,677.6149999999998,22.32999999999999,262.484,18.693,223.9060000000001,569.5699999999995,6.191999999999998,380.5420000000001,377.26999999999987,411.591,385.4940000000001,393.22799999999995,1793820.7440000004,1001251.5220000002,299445.7370000001,29815.792999999998,51089.92,410.9569999999998,373.0279999999999,382.8009999999999,365.05800000000005,411.8189999999999,73033.21,1699.1480000000001,15377.880000000003,451.94599999999997,5230.7400000000025,132.50099999999998,189008.78299999997,3543484.719999999,352.883,15531974896.0,84761158130464.0
1991,18.8,119.0,88534.589,125.25199999999998,61.47200000000013,19329.437000000005,443.6869999999999,3693.3869999999993,1078.612999999999,716.8249999999997,379.78199999999987,3264093.982,394.6800000000002,79.93100000000001,54.50000000000001,27.848999999999986,1984.8610000000003,32555.985000000015,961.7649999999999,16167.618000000002,35702.46900000003,619.9629999999997,21.37000000000001,248.49699999999999,21.019000000000002,221.651,560.6429999999997,5.430999999999999,376.811,368.9529999999999,410.434,366.1789999999999,387.039,1826376.7290000012,1036953.9989999994,315613.35199999996,30777.555999999986,53074.776999999995,410.2950000000001,372.8949999999998,384.1249999999999,365.1,410.83499999999987,73252.23000000004,1669.0020000000002,15302.09,447.5309999999998,5188.85,128.659,190249.977,3466822.2150000017,355.83399999999983,15784940976.0,85818277471520.0
1992,22.3,114.3,85683.42900000003,4921.338000000005,-2383.049,20318.057999999994,1232.1269999999997,2792.228,1059.5210000000004,756.0599999999998,379.28599999999994,3348747.9010000005,394.218,80.44600000000003,55.50099999999999,28.064999999999994,2040.2000000000005,31327.130999999994,889.538,16241.266999999998,34061.85100000001,571.8589999999999,20.96399999999999,234.17499999999995,21.165000000000006,231.19500000000008,547.2150000000001,4.824,371.912,371.853,409.44799999999987,383.3519999999999,381.68,1857703.8549999997,1070564.7380000001,331854.60900000005,31640.275,55114.988000000005,409.58500000000015,372.69999999999993,385.289,365.27700000000004,409.6779999999999,72838.87999999999,1627.6760000000004,15152.160000000003,440.719,5161.3,124.80400000000004,191575.90700000004,3486462.077,356.528,16030663944.0,88317801898512.0
1993,24.2,112.6,85945.14600000002,542.934,259.5679999999999,20260.896000000004,824.5659999999999,2339.502,1082.7219999999998,747.9390000000001,376.46099999999996,3434139.3019999987,393.75300000000004,82.188,55.33800000000001,27.942000000000014,2085.3340000000003,31377.86100000001,868.0540000000001,16607.458999999995,33931.63900000002,521.054,20.109999999999996,227.43899999999994,17.92800000000001,246.572,566.1150000000008,4.5409999999999995,368.1819999999999,369.466,407.61599999999993,380.08700000000005,375.525,1889081.7129999993,1104496.3839999996,348462.05900000007,32508.334000000006,57200.31700000002,408.82199999999995,372.61299999999994,386.29600000000005,365.65299999999996,408.32599999999996,72953.13999999998,1609.1740000000002,15094.629999999996,435.5090000000002,5133.190000000001,122.78,193410.23299999998,3694073.8379999986,370.205,16270568392.0,89929281969472.0
1994,23.6,92.3,85845.10399999998,4010.9679999999994,-124.61799999999991,20352.648999999998,550.035,2343.7890000000007,1070.8269999999995,743.688,373.26399999999984,3519406.858,393.2350000000001,80.64799999999997,53.674000000000014,27.560999999999996,2204.045999999999,31232.257999999998,875.388,16640.387,33816.81500000002,498.60299999999995,21.121000000000002,216.80300000000003,17.909000000000006,247.12400000000005,563.4560000000001,4.428000000000001,364.31699999999995,366.73100000000017,404.67800000000017,377.997,372.33600000000007,1920313.9670000002,1138313.1979999996,365102.44800000003,33383.72,59404.426,408.007,372.4259999999998,387.10400000000004,365.969,406.8689999999999,73322.13,1597.4039999999995,15029.309999999996,429.4959999999998,5308.709999999999,126.94800000000008,195927.13200000004,3712111.991,368.00199999999995,16507120112.0,92248120388928.0
1995,,,87252.93699999998,1157.1160000000002,1375.316,20819.038000000004,550.0859999999998,2516.6849999999995,1055.3639999999991,737.667,371.344,3606049.6740000024,392.67600000000016,79.40800000000002,52.78000000000004,27.357999999999997,2314.3019999999988,31961.745999999992,872.8839999999998,16989.129000000008,33990.96200000001,513.793,21.485,207.43200000000004,18.027,251.469,552.3859999999997,4.571,362.28200000000004,364.92299999999983,402.523,379.09200000000004,369.7709999999999,1952275.7130000005,1172304.1669999994,382091.581,34256.60699999999,61718.72099999999,407.1650000000001,372.2079999999999,387.77,366.29100000000005,405.342,74784.19000000002,1577.367,15041.2,420.0870000000002,5418.73,126.131,199941.17499999996,3752855.740999998,367.97799999999995,16742250960.0,95843732784352.0
1996,22.8,108.8,89621.70599999999,957.5449999999998,2315.164,21385.756999999998,425.5129999999998,2424.563999999999,1071.3009999999995,748.7539999999999,369.8730000000001,3695007.647999999,392.09700000000015,79.53300000000006,53.55599999999998,27.377999999999997,2345.261,32551.46,889.8290000000002,17769.627999999997,34911.241,490.563,21.678000000000008,208.69899999999993,17.637,260.4099999999999,558.4669999999999,4.4190000000000005,360.2799999999999,362.7849999999999,403.2999999999998,381.71000000000004,366.9540000000002,1984827.1639999996,1207215.412,399861.203,35146.43399999998,64063.97699999997,406.29999999999984,371.92599999999993,388.424,366.6669999999999,403.79299999999984,74925.2,1542.5439999999999,14782.45,403.91299999999956,5441.519999999999,121.75699999999996,205930.043,3726030.765999998,363.83699999999993,16976280936.0,98945188078448.0
1997,22.1,108.8,89708.39699999998,842.2119999999995,51.40600000000029,21573.75700000001,388.77699999999976,2284.3950000000004,1075.3669999999995,741.779,367.93600000000015,3784017.0269999984,391.48799999999994,76.702,51.038000000000004,27.328999999999986,2406.5169999999985,32200.445000000007,912.0170000000002,17773.837000000007,35227.67700000002,488.898,21.558999999999997,201.76199999999994,18.159999999999997,262.179,567.2179999999998,4.482999999999999,358.31699999999995,360.5,401.9060000000001,383.02899999999994,365.5250000000001,2017027.6090000006,1242443.0860000008,417635.04500000004,36058.453,66470.48900000005,405.43499999999995,371.5929999999998,388.9819999999999,367.064,402.26400000000007,77431.88,1564.8420000000008,15197.940000000004,406.845,5455.3,122.31899999999999,208057.75499999995,3755943.312000001,353.6340000000001,17208781880.0,102268137657952.0
1998,25.9,98.8,89286.496,354.51500000000004,-464.4090000000002,21520.23699999999,472.85699999999986,2737.5499999999993,1035.6569999999997,748.9560000000002,367.21900000000005,3872561.9929999993,390.89500000000004,75.94099999999997,52.66999999999999,27.086999999999993,2379.975000000001,31298.147,875.632,18098.45300000001,35408.15600000001,484.6120000000001,21.570000000000007,195.464,15.703,251.15099999999998,547.2620000000001,4.491999999999999,357.71700000000004,358.6789999999999,402.55300000000005,386.028,363.6279999999999,2048325.7440000004,1277851.2360000003,435733.49999999994,36934.08,68850.46599999997,404.6069999999998,371.2129999999998,389.52800000000013,367.4919999999999,400.7940000000002,76598.31000000001,1563.1949999999995,14985.800000000008,405.68699999999995,5453.4800000000005,121.884,209291.788,3797346.5370000005,355.1880000000002,17440151200.0,103964683787584.0
